Ben Thatcher
Danny Thomas
Mitchell Thomas
Erik Thorstvedt
Kazuyuki Toda
Sandro Tonali
Andros Townsend
Paolo Tramezzani
Jayden Meghoma
Kieran Trippier
William Troost-Ekong
Dave Tuttle
Destiny Udogie
Dennis Uphill
Bruno Uvini
Rafael van der Vaart
Micky van de Ven
Pat van den Hauwe
Jan Paul van Hecke
Ramón Vega
Alejo Véliz
Miloš Veljković
Terry Venables
Jan Vertonghen
Guglielmo Vicario
Lawrence Vigouroux
Ricardo Villa
Carlos Vinícius
Michel Vorm
Chris Waddle
Steve Walford
Ian Walker
Jimmy Walker
Kyle Walker
Kyle Walker-Peters
Anton Walkes
Paul Walsh
Tony Want
Victor Wanyama
Grant Ward
Kevin Watson
Timo Werner
Ralph Wetton
John Anderson White
Alfie Whiteman
Charles Albert Williams
Ronwen Williams
James Wilson
Kevin Wimmer
Harry Winks
Jonathan Woodgate
Cauley Woodrow
Vivian Woodward
Mark Yeates
DeAndre Yedlin
Terry Yorath
Alexander Young
Luke Young
Willie Young
Bobby Zamora
Christian Ziege
Reto Ziegler
Didier Zokora
