Leroy Abanda
Philipp Prosenik
Mario Provaglio
Simone Paolo Puleo
Christian Pulisic
Remo Pullica
Marco Pullo
Héctor Puricelli
Adrien Rabiot
Andrea Rabito
Renato Raccis
Giuseppe Radaelli
Luigi Radice
Gerolamo Radice
Florin Răducioiu
Adil Rami
Gonçalo Ramos
Rocco Ranelli
Dante Ranieri
Ante Rebić
Pietro Rebuzzi
Agostino Recalcati
Fernando Redondo
Tijjani Reijnders
Cesare Reina
Pepe Reina
Michael Reiziger
Leandro Remondini
Mario Renosto
Eduardo Ricagni
Samuele Ricci
Alfonso Ricciardi
Hugo Rietmann
Antonio Rigamonti
Frank Rijkaard
Giuseppe Rinaldi
Rivaldo
Gianni Rivera
Enrico Rivolta
Giuseppe Rizzi
Eugenio Rizzolini
John Robert Roberts
Zizi Roberts
Robinho
Ricardo Rodríguez
Mario Roghi
Giorgio Rognoni
Flavio Roma
Alessio Romagnoli
Simone Romagnoli
Mario Romani
Francesco Romano
Luka Romero
Ronaldinho
Ronaldo
Pierluigi Ronzon
Roque Júnior
Roberto Rosato
Luigi Rosellini
Giacomo Roseo
Giorgio Rossano
Giovanni Rossetti
Lorenzo Rossetti
Giulio Rossi
Paolo Rossi
Sebastiano Rossi
Giuseppe Rossoni
Egidio Rovelli
Orlando Rozzoni
Luigi Russo
Giuseppe Sabadini
Achille Sacchi
Giuseppe Saccone
Coli Saco
Mirco Sadotti
Alexis Saelemaekers
Antonio Sala
Luigi Sala
Marco Sala
Bartosz Salamon
Nello Saltutti
Sandro Salvadore
Stefano Salvatori
Gaetano Salvemini
Giancarlo Salvi
Paolo Sammarco
Ernesto Sandroni
Dino Sani
Aurelio Santagostino
Giuseppe Santagostino
Nello Santin
Giosuè Sanvito
Riccardo Saponara
Mohamed Sarr
Giovanni Sartori
Luca Saudati
Alessandro Savelli
Dejan Savićević
Alberto Savino
Carlo Scaccabarozzi
Cinzio Scagliotti
Nevio Scala
Tullio Scanferlini
Alessandro Scarioni
Roberto Scarnecchia
Pier Paolo Scarrone
Juan Alberto Schiaffino
Alessandro Schienoni
Karl-Heinz Schnellinger
Stefano Scognamillo
Umberto Scotti
Luciano Scroccaro
Giuseppe Secchi
Clarence Seedorf
Philippe Senderos
Aldo Serena
Serginho
Andrij Ševčenko
Antonio Seveso
Abdon Sgarbi
Arduino Sigarini
André Silva
Massimo Silva
Matías Silvestre
Arturo Silvestri
Paolo Silvestri
Dario Šimić
Jan-Carlo Simić
Stefan Simič
Marco Simone
Andrea Simontacchi
Paddy Sloan
Dario Smoje
Pierino Sodano
Riccardo Sogliano
Narciso Soldan
Umberto Soldati
Francesco Soldera
Gianluca Sordo
Jørgen Sørensen
Angelo Sormani
José Ernesto Sosa
Riccardo Sottil
Giuseppe Spinola
Luciano Spinosi
José Spirolazzi
Marco Sportiello
Jaap Stam
Giuseppe Stasio
Benedetto Stella
Roberto Sternisa
Marco Storari
Jørgen Strand Larsen
Rodney Strasser
Ivan Strinić
Giovanni Stroppa
Davide Succi
Suso
Hans Heinrich Suter
Adel Taarabt
Daniele Tacconi
Massimo Taibi
Taye Taiwo
Krisztián Tamás
Franco Tancredi
Mariano Tansini
Mauro Tassotti
Ciprian Tătărușanu
Sergio Tenente
Carlo Teodorani
Matteo Teoldi
Filippo Terracciano
Pietro Terracciano
Giuliano Terraneo
Thiago Silva
Malick Thiaw
Max Tobias
Paolo Todeschini
Bruno Tognana
Omero Tognon
Lucas Paquetá
Jon Dahl Tomasson
Fikayo Tomori
Sandro Tonali
Max Tonetto
Gianni Toppan
Guglielmo Tornabuoni
Luigi Tornaghi
Riccardo Toros
Fernando Torres
Lorenzo Torretta
Omar Torri
Elio Torriani
Giuseppe Torriani
Ugo Tosetto
Mario Tosolini
Ferdinando Trabattoni
Bakaye Traoré
Piero Trapanelli
Giovanni Trapattoni
Germano Travagini
Martino Traversa
Teresio Traversa
Mario Trebbi
Miro Tremolada
Alessandro Trerè
Attilio Trerè
Carlo Tresoldi
Frank Tsadjout
Alessandro Turini
Maurizio Turone
Ümit Davala
Ferruccio Valcareggi
Andrea Valdinoci
Guido Valerio
Ferdinando Valletti
Valentino Valli
Mattia Valoti
Fabian Valtolina
Ercole Vampa
Mark van Bommel
Louis Van Hege
Leonel Vangioni
Richiard Vanigli
Divo Vannucci
Giuseppe Vannucci
Amedeo Varese
Gabriel Vasconcelos Ferreira
Devis Vásquez
Villiam Vecchi
Franco Ventura
Maurizio Venturi
Simone Verdi
Rufo Emiliano Verga
Jherson Vergara
Santiago Vernazza
Attilio Veroni
Vinicio Verza
Antonio Vettore
Albano Vicariotto
Luca Vido
Patrick Vieira
Pietro Vierchowod
Christian Vieri
Giuseppe Vigo
Dídac Vilà
Carlo Villa
Matteo Villa
Riccardo Alberto Villa
Silvano Villa
Valerio Vimercati
Francesco Vincenzi
Pietro Paolo Virdis
Francesco Viscardi
Alessandro Vitali
Ferdinando Vitofrancesco
Tabaré Viudez
Fabio Viviani
Johann Vogel
Aster Vranckx
Miodrag Vukotić
Edward Wade
Louis Wagner
Kyle Walker
Paul Arnold Walty
Warren Bondo
George Weah
Taribo West
Ernst Widmer
Ray Wilkins
Andrew Williams
Arnaldo Woelkel
Mario Yepes
Cristian Zaccardo
Gustavo Zacchi
Alessandro Zagano
Francesco Zagatti
Gianluca Zambrotta
Guglielmo Zanasi
Massimiliano Zandali
Niccolò Zanellato
Luigi Zannier
Francesco Zanoncelli
Cristián Zapata
Giuseppe Zappella
Vincenzo Zazzaro
Luciano Zecchini
Cristian Zenoni
Kevin Zeroli
Mario Zidarich
Christian Ziege
Giulio Zignoli
Gianmarco Zigoni
József Zilisy
Fulvio Zonch
Mario Zorzan
Luigi Zorzi
Duilio Zotti
Giuseppe Zuccotti
