Edmond Abazi
Danny Tiatto
Alexis Tibidi
Fred Tilson
Tommy Browell
Dino Toppmöller
Ferran Torres
Nabil Touaizi
Alioune Touré
Kolo Touré
Yaya Touré
Tony Towers
William Townley
Hatem Trabelsi
James Trafford
Bert Trautmann
Kieran Trippier
Marcello Trotta
Sean Tse
K'akhaber Tskhadadze
Dennis Tueart
Sandy Turnbull
Daniel Van Buyten
Shaqueel van Persie
Darius Vassell
Frédéric Veseli
Patrick Vieira
Colin Viljoen
Vitor Reis
Michel Vonk
Matías Vuoso
David Wagstaffe
Kyle Walker
Billy Walsh
Mike Walsh
Paul Walsh
Paulo Wanchope
Ashley Ward
Paul Warhurst
Roy Warhurst
Darren Wassall
Ronald Waterreus
David Watson
George Weah
Nicky Weaver
Vladimír Weiss
Dennis Westcott
Keiren Westwood
Glenn Whelan
David White
Ken Whitfield
Jeff Whitley
Jim Whitley
Gerard Wiekens
Aaron Wilbraham
Alex Williams
Charles Albert Williams
Alf Wood
Phil Woosnam
Richard Wright
Tommy Wright
Bradley Wright-Phillips
Shaun Wright-Phillips
Abduqodir Xusanov
Hussein Yasser
Yaw Yeboah
Alexander Young
Neil Young
Pablo Zabaleta
Oleksandr Zinčenko
Bruno Zuculini
