Olivier Kapo
Grīgorīs Kastanos
Moise Kean
Lloyd Kelly
Sami Khedira
Mihály Kincses
Samuel Mbangula
Mario Kirev
Dario Knežević
Giovanni Koetting
Jürgen Kohler
Randal Kolo Muani
Abdoulay Konko
Teun Koopmeiners
Július Korostelev
Filip Kostić
Robert Kovač
Darko Kovačević
Serhij Kovalenko
Miloš Krasić
Sandro Kulenović
Dejan Kulusevski
Matts Kunding
Fausto Landini
Eric Lanini
Davide Lanzafame
Michael Laudrup
Jacob Barrett Laursen
Luigi Lavecchia
Nicola Legrottaglie
Mario Lemina
Carlo Lenci
Lamberto Leonardi
Gianfranco Leoncini
Giuseppe Leone
Mehdi Léris
Stephan Lichtsteiner
Bruno Limido
Alceo Lipizer
Pol Lirola
Fernando Llorente
Manuel Locatelli
Ugo Locatelli
Severino Lojodice
Attilio Lombardo
Miguel Ángel Longo
Silvio Longobucco
Simone Loria
Lorenzo Lucchesi
Andrea Luci
Lucio
Jhon Lucumí
Gregorio Luperini
Gianluca Luppi
Riza Lushta
Roman Macek
Guido Macor
Silvino Maffiotti
Antonio Maggioni
Domenico Maggiora
Juan Maglio
Pietro Magni
Roger Magnusson
Marino Magrin
Claudio Maiani
Domenico Maietta
Christian Makoun
Umberto Malvano
Adolfo Mandosso
Rolando Mandragora
Mario Mandžukić
Sergio Manente
Christian Manfredini
Lionello Manfredonia
Riccardo Maniero
Gino Manni
Alexander Manninger
Ettore Mannucci
Fabio Marangon
Luciano Marangon
Alberto Marchetti
Gianpietro Marchetti
Mariano Marchetti
Cornelio Marchetto
Guido Marchi
Pio Marchi
Renato Marchiaro
Marco Marchionni
Fabio Marchioro
Claudio Marchisio
Aldo Marelli
Enzo Maresca
Francesco Margiotta
Giacomo Mari
Amos Mariani
Giancarlo Marocchi
Domenico Marocchino
Luca Marrone
Giovanni Martina
Jorge Andrés Martínez
Rinaldo Martino
Giustiniano Marucco
Giovanni Masera
Alberto Masi
Andrea Masiello
Chiaffredo Mastrella
Giorgio Mastropasqua
Alessandro Matri
Angelo Mattea
Federico Mattiello
Carlo Mattrel
Blaise Matuidi
Massimo Mauro
Stephy Mavididi
Guido Mazza
Pio Roberto Mazza
Roberto Mazzanti
Bruno Mazzia
Oreste Mazzia
Giovanni Mazzonis
Enrico Mazzucchi
Weston McKennie
Aidan McQueen
Giuseppe Meazza
Arthur Meille
Olof Mellberg
Arthur Melo
Felipe Melo
Tiago Mendes
Mario Meneghetti
Giampaolo Menichelli
Davis Mensah
Umberto Menti
Alberto Merciai
Ugo Merio
Luciano Miani
Fabrizio Miccoli
Egidio Micheloni
Davide Micillo
Marcello Mihalich
Omar Milanetto
Arkadiusz Milik
Vincenzo Millico
Armando Miranda
Antonio Mirante
Fabio Miretti
Zoran Mirković
Cristian Molinaro
Andreas Möller
Gabriele Moncini
Rosolino Montano
Paolo Montero
Renzo Monti
Luis Monti
Antonio Montico
Giuseppe Monticone
Roberto Montorsi
Bruno Mora
Álvaro Morata
Mario Morello
Pablo Moreno
Emiliano Moretti
Francesco Morini
Giuseppe Mortarotti
Angelo Morzone
Pietro Mosca
Lino Mosca
Guglielmo Moschino
Nicola Mosti
Marco Motta
Ermes Muccinelli
Tarik Muharemović
Patrick Müller
Federico Munerati
Simone Muratore
Giuliano Musiello
Adrian Mutu
Franco Nanni
Nicolò Napoli
Casimiro Nay
Cesare Nay
Pavel Nedvěd
Gustavo Neffa
Pieraldo Nemo
Giacomo Neri
Neto Murara
João Mário
Mario Nevi
Costantino Nicola
Beniamino Nicola
Bruno Nicolè
Hans Nicolussi Caviglia
Antonio Nocerino
Gilberto Noletti
Joseph Nonge
Thomas Nordahl
Massimiliano Notari
Adriano Novellini
Osvaldo Novo
Ronnie O'Brien
Fabián O'Neill
Vincenzo Occhetta
Angelo Ogbonna
Claudio Olinto de Carvalho
Sunday Oliseh
Rubén Olivera
Marco Olivieri
Renato Olmi
Ervin Omić
Pietro Omodei Zorini
Guido Onor
Benjamin Onwuachi
Loïs Openda
Guglielmo Oppezzo
Alessandro Orlando
Massimo Orlando
Raimundo Orsi
Carlo Osti
Daniel Osvaldo
Massimo Paci
Marco Pacione
Douglas Packer
Simone Padoin
Stefano Padovan
