Massimiliano Fusani
Giovanni Gaddoni
Giuseppe Gaggiotti
Roberto Gagliardini
Guglielmo Gajani
Fabio Galante
Nicolas Galazzi
Italo Galbiati
Roberto Galbiati
Giuseppe Galimberti
Franco Galletti
Remo Galli
Stefano Gallio
Romano Galvani
Achille Gama
Carlos Gamarra
Maurizio Ganz
Tibor Garay
Walter Gargano
Luciano Gariboldi
Oliviero Garlini
Luca Garritano
Angiolino Gasparini
Giovanni Gasparini
Mauro Gatti
Emilio Gattoronchieri
Giovanni Gavazzi
Renato Gelio
Cesare Genovesi
Giuliano Gentilini
Grīgorīs Geōrgatos
Gianvito Geotti
Alberto Gerbo
Attilio Gerola
Giorgio Ghezzi
Ferruccio Ghidini
Gian Piero Ghio
Giovanni Giacomazzi
Stefano Giacomelli
Leo Giacosa
Franco Gianese
Guido Gianfardoni
Giuseppe Giavardi
Gilberto da Silva Melo
Attilio Giovannini
Sergio Girardi
Camillo Girotti
Mario Giubertoni
Pietro Giuriati
Giuseppe Giustacchini
Diego Godín
Vítor Hugo Gomes Passos
Natale Gonnella
Kily González
Mariano González
Sergio Gori
Robin Gosens
Nello Governato
Guido Gratton
Lino Grava
Andreaw Gravillon
Vratislav Greško
Luigi Griffanti
Giuseppe Grigoli
Gaetano Grippi
Mario Gritti
Maurizio Grosselli
Fabio Grosso
Mirko Gruden
Emilio Guagnino
Raffaele Guaita
Fredy Guarín
Aristide Guarneri
Umberto Guarnieri
Tommaso Guercio
Andrés Guglielminpietro
Claudio Guglielmoni
Viviano Guida
Bright Gyamfi
Achraf Hakimi
Samir Handanovič
Thomas Helveg
Luis Henrique
Hernanes
Gerry Hitchens
Andi Hoti
Jorge Humberto Raggi
Zlatan Ibrahimović
Mauro Icardi
Nikola Iliev
Paul Ince
Giovanni Invernizzi
Maurizio Iorio
Ivica Ivušić
Jair da Costa
Hans Jenni
Luis Jiménez
Milan Jirásek
João Mário
Jonathan Cícero Moreira
Curtis Jones
Wim Jonk
Stevan Jovetić
Juan Jesus
Juary
Vladimir Jugović
Júlio César Soares Espíndola
Oliver Jürgens
Mohamed Kallon
Issiaka Kamate
Christopher Kanu
Nwankwo Kanu
Giōrgos Karagkounīs
Yann Karamoh
Bruno Katzianka
Robbie Keane
Luka Kerin
Kerlon
Houssine Kharja
Davy Klaassen
Jürgen Klinsmann
Christoph Knasmüllner
Morten Knudsen
Aleksandar Kolarov
Evans Kondogbia
Geoffrey Kondogbia
Mateo Kovačić
Rene Krhin
Werner Kummer
Zdravko Kuzmanović
Sabri Lamouchi
Enrico Lamperti
Spartaco Landini
Juan Landolfi
Marco Landucci
Giovanni Lanfritto
Karim Laribi
Fabrizio Larini
Maurizio Laureri
Diego Laxalt
Valentino Lazaro
Roberto Lerici
Virgilio Felice Levratto
Giacomo Libera
Bengt Lindskog
Gianluca Litteri
Marko Livaja
Adem Ljajić
Sllave Llambi
Ugo Locatelli
Dante Lodrini
Lino Lolla
Ezio Lombardi
Geremy Lombardi
Stefano Lombardi
Claudio Lombardo
Costante Longhi
Samuele Longo
Lisandro López
Benito Lorenzi
Fabrizio Lorieri
Leonida Lucchetta
Luciano Siqueira de Oliveira
Lucimar Ferreira da Silva
Romelu Lukaku
Alfredo Lulich
Yann M'Vila
Fabio Macellari
Giuseppe Madini
Carlo Maggi
Sergio Magistrelli
Giorgio Magnaghi
Ugo Magnetto
Alfredo Magni
Giorgio Magnocavallo
Maicon Douglas Sisenando
Dimităr Makriev
Saul Malatrasi
Astutillo Malgioglio
Rey Manaj
Paolo Mandelli
Andrea Mandorlini
Pedro Manfredini
Tiziano Manfrin
Maniche
Antonio Manicone
Nereo Manzardo
Ferruccio Maranesi
Luciano Marangon
Massimo Marazzina
Sergio Marchi
Ivan Marconi
Felice Mariani
Giorgio Mariani
Piero Mariani
McDonald Mariga
Romolo Marinari
Gianpiero Marini
Giuseppe Marino
Hernst Marktl
Mauro Marmaglio
Silvano Martina
Piero Martinella
Felice Martinelli
Lautaro Martínez
Josep Martínez
Obafemi Martins
Alessandro Marzio
Luigi Mascalaito
Ernesto Mascheroni
Oliviero Mascheroni
Humberto Maschio
Natale Masera
Enea Masiero
Giuseppe Massa
Oscar Massei
Armando Massiglia
Yanis Massolin
Marco Materazzi
Gianfranco Matteoli
Enzo Matteucci
Lothar Matthäus
Kevin Martins
Maxwell Scherrer Cabelino Andrade
Bruno Mazza
Andrea Mazzantini
Ferruccio Mazzola
Sandro Mazzola
Alessandro Mazzoletti
