Guillermo Varela
Marnick Vermijl
Juan Sebastián Verón
Frédéric Veseli
Nemanja Vidić
Dennis Viollet
Radek Vítek
Tony Waddington
George Wall
Danny Wallace
Ronnie Wallwork
Gary Walsh
Aaron Wan-Bissaka
Ashley Ward
Duncan Watmore
Willie Watson
Neil Webb
Colin Webster
Wout Weghorst
James Weir
Richie Wellens
Enoch West
Bert Whalley
Liam Whelan
Benjamin Whiteman
Norman Whiteside
Ray Wilkins
Ben Williams
Brandon Williams
Matthew Williams
Matty Willock
David Wilson
James Wilson
Marc Wilson
Mark Wilson
Walter Winterbottom
Magnus Wolff Eikrem
Harry Wood
Ray Wood
Gary Woods
Scott Wootton
Harry Worrall
Hussein Yasser
Dwight Yorke
Leny Yoro
Ashley Young
Tony Young
Wilfried Zaha
Ron-Robert Zieler
Joshua Zirkzee
